region,anzsic_descriptor,gas,units,magnitude,year,data_val
Auckland,Agriculture,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2007,811.63
Auckland,Agriculture,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2008,777.95
Auckland,Agriculture,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2009,684
Auckland,Agriculture,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2010,706.56
Auckland,Agriculture,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2011,764.3
Auckland,Agriculture,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2012,725.02
Auckland,Agriculture,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2013,707.4
Auckland,Agriculture,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2014,678.92
Auckland,Agriculture,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2015,744.83
Auckland,Agriculture,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2016,901.67
Auckland,Agriculture,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2017,804.66
Auckland,Agriculture,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2018,755.06
Bay of Plenty,Agriculture,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2007,1415.8
Bay of Plenty,Agriculture,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2008,1403.29
Bay of Plenty,Agriculture,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2009,1344.11
Bay of Plenty,Agriculture,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2010,1374.03
Bay of Plenty,Agriculture,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2011,1477.94
Bay of Plenty,Agriculture,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2012,1460.33
Bay of Plenty,Agriculture,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2013,1437.02
Bay of Plenty,Agriculture,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2014,1471.69
Bay of Plenty,Agriculture,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2015,1605.91
Bay of Plenty,Agriculture,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2016,1513.02
Bay of Plenty,Agriculture,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2017,1532.77
Bay of Plenty,Agriculture,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2018,1450.77
Canterbury,Agriculture,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2007,6749.95
Canterbury,Agriculture,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2008,6484.67
Canterbury,Agriculture,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2009,6471.36
Canterbury,Agriculture,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2010,6510.42
Canterbury,Agriculture,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2011,6823.16
Canterbury,Agriculture,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2012,7288.23
Canterbury,Agriculture,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2013,7624.28
Canterbury,Agriculture,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2014,7548.4
Canterbury,Agriculture,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2015,7339.6
Canterbury,Agriculture,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2016,7297.02
Canterbury,Agriculture,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2017,7491.55
Canterbury,Agriculture,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2018,7832.53
Gisborne,Agriculture,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2007,1233.68
Gisborne,Agriculture,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2008,1206.11
Gisborne,Agriculture,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2009,1092.52
Gisborne,Agriculture,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2010,1098.46
Gisborne,Agriculture,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2011,1133.25
Gisborne,Agriculture,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2012,1146.01
Gisborne,Agriculture,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2013,1125.63
Gisborne,Agriculture,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2014,1171.88
Gisborne,Agriculture,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2015,1058.5
Gisborne,Agriculture,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2016,1069.14
Gisborne,Agriculture,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2017,1039.93
Gisborne,Agriculture,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2018,1033.12
Hawke's Bay,Agriculture,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2007,2484.95
Hawke's Bay,Agriculture,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2008,2675.36
